Buy Price,Quantity,name,Weighted_Price,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date
223.0,10,TataPower,2230.0,223.1,226.35,222.6,224.95,11221842,0.0,0.0,2023-06-20
66.1,50,TataSteel,3305.0,114.1,115.25,113.5,114.25,30371599,0.0,0.0,2023-06-20
56.0,50,TataSteel,2800.0,114.1,115.25,113.5,114.25,30371599,0.0,0.0,2023-06-20
39.2,50,TataSteel,1960.0,114.1,115.25,113.5,114.25,30371599,0.0,0.0,2023-06-20
28.8,20,TataSteel,576.0,114.1,115.25,113.5,114.25,30371599,0.0,0.0,2023-06-20
86.5,30,TataSteel,2595.0,114.1,115.25,113.5,114.25,30371599,0.0,0.0,2023-06-20
112.0,20,TataSteel,2240.0,114.1,115.25,113.5,114.25,30371599,0.0,0.0,2023-06-20
109.0,10,TataSteel,1090.0,114.1,115.25,113.5,114.25,30371599,0.0,0.0,2023-06-20
470.0,5,Wipro,2350.0,381.8,384.95,380.6,382.5,5901329,0.0,0.0,2023-06-20
653.0,10,Wipro,6530.0,381.8,384.95,380.6,382.5,5901329,0.0,0.0,2023-06-20
341.0,5,YesBank,1705.0,16.3,16.4,16.15,16.25,62344783,0.0,0.0,2023-06-20
204.0,5,YesBank,1020.0,16.3,16.4,16.15,16.25,62344783,0.0,0.0,2023-06-20
93.0,10,YesBank,930.0,16.3,16.4,16.15,16.25,62344783,0.0,0.0,2023-06-20
65.0,10,YesBank,650.0,16.3,16.4,16.15,16.25,62344783,0.0,0.0,2023-06-20
16.0,25,YesBank,400.0,16.3,16.4,16.15,16.25,62344783,0.0,0.0,2023-06-20
15.0,10,YesBank,150.0,16.3,16.4,16.15,16.25,62344783,0.0,0.0,2023-06-20
16.0,100,YesBank,1600.0,16.3,16.4,16.15,16.25,62344783,0.0,0.0,2023-06-20
